32|887|47|5|5|
33|193|47|9|46|
34|761|47|16|18|
35|215|0|30|46|
36|9|0|21|52|
37|145|0|36|46|
38|380|0|24|46|
39|778|47|8|18|
40|102|0|14|51|
41|117|0|14|51|
42|693|47|21|22|
43|669|47|23|23|
44|811|47|10|12|
45|871|47|15|8|
46|837|47|8|9|
47|274|0|26|46|
48|903|0|21|46|
49|1012|0|10|46|
50|925|0|21|46|
51|947|0|21|46|
52|478|0|23|46|
53|969|0|21|46|
54|859|0|21|46|
55|639|0|21|46|
56|661|0|21|46|
57|683|0|21|46|
58|641|47|8|27|
59|611|47|10|30|
60|622|47|18|27|
61|737|47|23|18|
62|650|47|18|26|
63|21|53|19|46|
64|246|0|27|46|
65|405|0|24|46|
66|771|0|21|46|
67|793|0|21|46|
68|881|0|21|46|
69|121|52|18|46|
70|158|47|17|46|
71|815|0|21|46|
72|837|0|21|46|
73|203|47|8|46|
74|0|56|20|46|
75|594|0|22|46|
76|140|51|17|46|
77|328|0|25|46|
78|502|0|22|46|
79|525|0|22|46|
80|749|0|21|46|
81|354|0|25|46|
82|571|0|22|46|
83|727|0|21|46|
84|705|0|21|46|
85|617|0|21|46|
86|548|0|22|46|
87|182|0|32|46|
88|454|0|23|46|
89|430|0|23|46|
90|991|0|20|46|
91|87|0|14|52|
92|301|0|26|46|
93|71|0|15|52|
94|715|47|21|20|
95|846|47|24|8|
96|822|47|14|11|
97|533|47|19|30|
98|41|53|19|46|
99|513|47|19|30|
100|61|53|19|46|
101|433|47|19|30|
102|176|47|16|46|
103|262|47|19|40|
104|81|53|19|46|
105|302|47|9|40|
106|132|0|12|50|
107|101|53|19|46|
108|212|47|8|46|
109|329|47|30|30|
110|453|47|19|30|
111|473|47|19|30|
112|242|47|19|40|
113|282|47|19|40|
114|573|47|18|30|
115|493|47|19|30|
116|312|47|16|38|
117|553|47|19|30|
118|391|47|20|30|
119|360|47|30|30|
120|412|47|20|30|
121|221|47|20|40|
122|592|47|18|30|
123|51|0|19|52|
124|0|0|8|55|
125|31|0|19|52|
126|787|47|23|13|
