0|-125|-880|
-0.268585205078125|-62|-530.122924804688|
-0.268585205078125|1|-240.12287902832|
-242.768585205078|1|-0.122886657714844|
-0.134292602539063|1|-0.0614471435546875|
850.039428710938|-125|-895.679809570313|
0|-125|-1262.5|
-882.5|-124.999969482422|-887.197998046875|
-1260.98266601563|-125|-9.69801902770996|
-876.965270996094|-125|-9.39595794677734|
-530.982666015625|-62|-4.69797515869141|
0|-252.5|-2097.5|
0|-380|-2880|
260|-380|-2880|
600|-445|-2937.5|
1155|-510|-2980|
932.5|-510|-2980|
1155|-570|-3560|
1155|-630|-4122.64453125|
555|-630|-4122.64453125|
-265|-379.992767333984|-2880.0009765625|
-1162.5|-510|-2940|
-1117.37292480469|-510|-3207.5|
-1150|-630|-4122.64453125|
-380|-630|-4122.64453125|
1155|-572.5|-2380|
1155|-635|-1567.50012207031|
1517.5|-635|-1333.77478027344|
662.5|-635|-1567.50012207031|
662.5|-635|-2117.5|
585|-635|-2377.15380859375|
-1162.5|-510|-2740|
-1397.5|-510|-2685|
-2095|-510|-1970|
-2910|-510|-1135|
-3115|-510|-1135|
-3540|-574|-1170|
-4222.5|-638|-1170|
-4222.5|-638|-769.661682128906|
-5080.04541015625|-638|-769.661682128906|
555|-630|-4512.64453125|
633.653686523438|-630|-4955.1474609375|
-380|-630|-4122.64453125|
-757.5|-630|-4122.64453125|
-37.5|-630|-4122.64453125|
-380|-630|-4822.244140625|
-4272.5|-638|-370|
-604.999694824219|-445|-2937.5|
-0.268585205078125|-62|-530.122924804688|
